                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0337,                 2.4056,                 1.1166,                0.98922,                 0.5701,                0.85534,                0.70885,                0.49478,                 2.5605,                0.99285,                 0.0766,                 0.0026,                 0.0026
                      1,                0.94918,                 0.8717,                 1.1138,                      1,                0.59265,                0.99099,                0.73579,                0.66036,                 2.3648,                 1.0489,                0.05195,              0.0049502,              0.0049502
                      2,                 1.0085,                0.81282,                 1.0871,                      1,                0.99733,                  0.995,                0.81253,                0.70172,                 1.6251,                  1.123,               0.026944,               0.006944,               0.006944
                      3,                 1.0045,                0.78392,                 1.0848,                0.99802,                      1,                  0.995,                0.80179,                0.70876,                 1.1679,                 1.0786,                0.00802,                0.00802,                0.00802
                      4,                 0.9879,                0.75585,                 1.0784,                0.99232,                      1,                  0.995,                0.81064,                0.66316,                0.99374,                 1.0668,                0.00802,                0.00802,                0.00802
                      5,                0.88013,                0.72927,                  1.061,                0.99944,                      1,                  0.995,                0.83251,                0.70721,                0.82536,                 1.0653,                0.00736,                0.00736,                0.00736
                      6,                0.84199,                0.68111,                 1.0127,                0.99956,                      1,                  0.995,                  0.842,                0.56864,                0.76023,                0.98337,                 0.0067,                 0.0067,                 0.0067
                      7,                0.81057,                0.63073,                0.99367,                0.99964,                      1,                  0.995,                0.81645,                0.66298,                0.70296,                 1.0377,                0.00604,                0.00604,                0.00604
                      8,                0.79578,                 0.5883,                 0.9789,                0.99963,                      1,                  0.995,                 0.8322,                0.61057,                  0.591,                0.96799,                0.00538,                0.00538,                0.00538
                      9,                0.77531,                0.56641,                0.97609,                0.99954,                      1,                  0.995,                0.85484,                0.63139,                0.58838,                0.96794,                0.00472,                0.00472,                0.00472
                     10,                 0.7668,                0.54997,                0.96564,                0.99959,                      1,                  0.995,                0.84809,                0.62557,                0.56741,                0.95535,                0.00406,                0.00406,                0.00406
                     11,                0.74374,                0.52669,                0.95485,                0.99952,                      1,                  0.995,                0.84446,                0.60271,                0.58737,                0.96053,                 0.0034,                 0.0034,                 0.0034
                     12,                0.74559,                0.50955,                0.96729,                0.99954,                      1,                  0.995,                0.86685,                0.54058,                0.57649,                0.92881,                0.00274,                0.00274,                0.00274
                     13,                0.71075,                0.48294,                0.95018,                 0.9996,                      1,                  0.995,                0.86138,                 0.5226,                 0.5243,                0.92632,                0.00208,                0.00208,                0.00208
                     14,                0.69578,                0.47535,                0.93995,                0.99957,                      1,                  0.995,                0.86743,                0.53129,                0.51189,                0.92846,                0.00142,                0.00142,                0.00142
